,Country Name,"Cause of death, by non-communicable diseases (% of total)","Intentional homicides (per 100,000 people)","Life expectancy at birth, total (years)",Lifetime risk of maternal death (%),People using at least basic sanitation services (% of population),"Mortality rate, infant (per 1,000 live births)",communicable diseases
95,Israel,86.8961751004377,2.04681893635007,81.6024390243903,0.00929601088046479,100,3.7,7.87580903333166
96,Italy,92.2468466267496,0.88428340865344,82.0365853658537,0.00937820172122136,99.8857062365452,3.4,3.62593178697899
97,Jamaica,76.2039739680013,52.9281289412618,72.622,0.151269920065681,84.7049497959263,16.3,10.7881038281825
98,Japan,80.277952877026,0.362982268878202,82.8426829268293,0.00787246184047068,99.9730441075855,2.3,13.382204291544
99,Jordan,72.6674428356556,1.67357774926444,74.0,0.177180524587452,97.9706013227248,17.2,15.0511413457207
100,Kazakhstan,81.5175133754637,8.3414339562456,68.45,0.0538745658316459,97.3958712664256,18.2,7.36173957181201
101,Kenya,28.9693306154506,4.63896345613183,60.649,2.15887352141122,31.74269809332,36.9,62.6252094087797
102,Kiribati,67.8289103602091,3.70387517940645,65.016,0.527410737416351,40.2962738587933,45.3,25.9173250889831
103,"Korea, Dem. People's Rep.",76.1848543659944,,70.419,0.222250117260537,78.0324082646269,23.1,16.4138575526977
104,"Korea, Rep.",80.1622548279412,0.992837559563842,80.1170731707317,0.00860820114847005,99.9656957165082,3.5,7.11362012358738
105,Kosovo,,5.91332240856316,77.63,,,18.1,..
106,Kuwait,71.7650198580962,2.03848905153012,77.982,0.0255607043374936,100,9.2,9.71204608004378
107,Kyrgyz Republic,76.9412100012404,16.7641099769876,69.3,0.246063532142372,95.3014005515192,26.1,12.908736416894
108,Lao PDR,52.6833242380408,,63.973,0.952984526022005,56.4281940263064,51.4,38.8876581425341
109,Latvia,91.0629932597049,,73.4829268292683,0.0351545997314136,90.0717571918189,6.5,2.39379950945083
110,Lebanon,87.0527498622529,3.26274102873824,78.156,0.0374572842498409,87.3971560230884,10.8,6.51958182999586
111,Lesotho,38.4108948408623,,45.596,3.29678937211218,30.4253043022921,65.9,50.832460508696
112,Liberia,28.07753381067,3.20899034715803,59.433,3.34695854756955,15.9511988042973,71.7,63.7276826221989
113,Libya,74.8492232308695,,72.374,0.157908124908057,91.4532145985401,14.2,11.5716385662815
114,Liechtenstein,,2.78349941546512,81.8414634146342,,99.95,..,..
115,Lithuania,88.5451191272801,6.97670306817242,73.2682926829268,0.013403650397394,89.1284006750331,4.9,2.47671746231942
116,Luxembourg,87.2570759409712,1.97211624836438,80.6317073170732,0.0144000239329607,97.6400126990447,2.3,6.15336562923753
117,"Macao SAR, China",,0.358875070204936,83.109,,100,..,..
118,Madagascar,40.033065782203,,62.873,2.46620532784756,8.57423264087617,47.8,50.6139842438789
119,Malawi,29.9916007372789,3.53298755576473,56.381,2.93046010500624,22.9502207251724,52,63.001580066493
120,Malaysia,71.474978464192,1.88037139842281,74.442,0.0529269056589918,94.736582737823,6.9,18.2378289288106
121,Maldives,82.865854476024,1.65940905677806,77.657,0.16585732435191,87.8394197664,11.9,10.4394269282845
122,Mali,25.9261433981711,,56.382,3.72672633601411,29.6838043988009,78.3,66.530673456949
123,Malta,91.2402010522648,0.955212475074925,81.3975609756098,0.00742471017852679,99.9647232541935,6,5.28770012006629
124,Marshall Islands,,,63.226,,85.4310277601314,31.8,..
125,Mauritania,29.7623917035575,,63.105,2.96529599512359,32.4828471045186,41.5,61.7104517601066
126,Mauritius,85.9628306743642,2.57143525048117,72.9673170731707,0.0952865101603308,94.2335664258149,12.8,7.8804711957814
127,Mexico,76.0637841319078,22.888519115879,74.19,0.123639126304433,84.9709827739648,16.4,11.5781091734769
128,"Micronesia, Fed. Sts.",74.2664292932901,,71.233,0.158142592882516,65.9268491027033,28.6,17.6292641492861
129,Moldova,87.1707665522437,7.20463837337209,69.357,0.0313225158717572,76.9677005639759,14.6,4.82301156314583
130,Monaco,,,,,100,3.3,..
131,Mongolia,78.0406409339238,8.84359782721312,67.182,0.179154944831469,56.6892307138482,22.1,9.61953417251207
132,Montenegro,92.6493649507084,2.37701333029076,75.990243902439,0.0124812779022176,92.7984947146131,5.7,1.79447247417865
133,Morocco,77.0622552195819,1.38919413341161,70.829,0.367457353163194,77.918633263736,26.8,13.5048736228847
134,Mozambique,30.2106519355533,3.7921925300048,54.198,1.83963241854498,21.3170069551163,71,62.1781951050473
135,Myanmar,59.4292630610747,1.62175334496245,63.329,0.687563190640444,68.8298210389307,48.5,33.6351744932116
136,Namibia,40.2558829934852,14.9575769297001,56.015,1.65168441085313,32.1500515659927,36.9,50.4973867978705
137,Nauru,,,59.64,,65.7598065462126,30.6,..
138,Nepal,54.2148861914656,2.99319996878678,66.814,1.06337038485529,42.0493403726571,38.2,36.8196108292267
139,Netherlands,89.4243499756617,0.866576314050145,80.7024390243902,0.0109119491990803,97.8081693959468,3.7,6.3822789012044
140,New Caledonia,,,77.2804878048781,,100,..,..
141,New Zealand,89.8081729064488,0.989338497220131,80.9048780487805,0.0205915601866973,99.9999988878029,5.2,3.65338637713709
142,Nicaragua,74.753246199966,13.4056647215929,72.009,0.30275340346721,66.9420991365654,20,14.3794810996344
143,Niger,23.4406588654639,,58.367,4.47612803473771,10.4624965004898,67,68.2523233371626
144,Nigeria,24.0613185693917,,50.945,6.62100932290439,34.6931332709606,84.2,68.9355246696758
145,North Macedonia,95.2420564501999,2.05365483697801,74.9975609756098,0.0109925743967204,92.2138595061877,9.1,1.67852704060863
146,Northern Mariana Islands,,,,,77.7641728568818,..,..
147,Norway,87.6724112288554,0.593078447304264,80.9975609756098,0.00698936365586386,98.0626945664686,2.7,6.87862976124475
148,Oman,76.1814068878104,1.66555947443965,76.269,0.0627692667615892,96.2174889393392,10.1,9.67244171833173
149,Pakistan,53.0217057656377,6.78307785917094,64.436,1.09911474551065,49.5244058324413,70.2,39.2103258827725
150,Palau,,,,,95.6834732406395,19.3,..
151,Panama,69.8754188149835,12.6944965907688,76.448,0.15141571917866,72.9641411354317,15.8,17.7646043936081
152,Papua New Guinea,52.7042982870165,9.40227756657452,63.039,1.15576152322074,18.6299433546528,45.3,40.1688518046015
153,Paraguay,69.0770586906766,12.8453765961919,71.887,0.310051864823611,82.1654388723924,21.8,18.2784322218376
154,Peru,67.2530838970562,,73.711,0.209865116539694,71.264248526155,15.6,21.6995847795281
155,Philippines,64.0094112000817,9.13493395868059,70.754,0.360226650880477,71.030981112432,23.3,28.2227662613871
156,Poland,90.0074379648155,0.994886877346226,76.2463414634146,0.00352901021176173,94.2762845452116,5.1,3.95535422060168
157,Portugal,86.5873776278381,1.17109278350905,79.0268292682927,0.0137584185927821,98.7617899525804,3.1,9.16058135313527
158,Puerto Rico,,27.7036473600038,78.01,0.0368820711833509,99.418924178273,..,..
159,Qatar,68.4669247694012,0.233439849991552,78.425,0.0245952281502495,99.9365482161506,7.8,5.70920034501295
160,Romania,92.0908813318928,1.30807592800488,73.4585365853659,0.038525431113912,78.9811608593787,10.5,3.47353127185857
161,Russian Federation,86.3387714394784,11.6515618374112,68.8412195121951,0.0295749863466728,86.6979468149556,8.4,4.23089873302081
162,Rwanda,39.3308944428683,2.82276772666607,62.54,1.79381268792421,58.9727043706858,44.1,49.6738027401655
163,Samoa,79.9433073721828,8.21897401519997,72.249,0.297013057719837,93.6394944067816,16.5,12.0050288634309
164,San Marino,,0,,,100,2.4,..
165,Sao Tome and Principe,49.5167624708706,3.29419644940526,65.249,0.803025378597627,33.1528174421221,27.7,40.2552030808239
166,Saudi Arabia,72.3839809615052,,75.763,0.047803825984865,95.2504988920031,10.5,9.83144607480902
167,Senegal,37.7096935961074,,64.615,2.4145675296308,47.4746195159613,42.6,51.8229672807119
168,Serbia,94.8317607913052,1.72464511996965,74.3365853658537,0.0197501989684186,96.5089535369173,6.6,1.68284096482069
169,Seychelles,78.0997482789742,9.73936380311335,73.1975609756098,0.0170264554819026,97.8470890468718,12.1,13.6087145436109
170,Sierra Leone,25.4982239956513,2.53235432204525,53.693,4.59298562645994,12.8377260886087,107.3,67.8788662822272
171,Singapore,77.4535588216906,0.367961085984856,81.5414634146342,0.00869308105803134,100,2.2,17.3307517800517
172,Sint Maarten (Dutch part),,,75.132,,98.6895028034355,..,..
173,Slovak Republic,89.637049547929,1.64924031173236,75.1121951219512,0.00707441617314611,98.3065426540869,5.7,5.05858789237467
174,Slovenia,88.3301317318423,0.729115400740052,79.4219512195122,0.0105206988997686,98.8982038266302,2.6,3.82672395217871
175,Solomon Islands,61.5463995637396,,68.732,0.699452983887629,26.8706693554718,22.3,28.1038379882207
176,Somalia,25.0603698272262,,50.563,6.75579699011812,28.6319061876703,95.5,66.1693476543789
177,South Africa,40.8141965079597,30.6904008727714,58.899,0.546228149901689,68.1840155796529,35.7,48.8833234546531
178,South Sudan,23.5594449637212,,54.812,5.38646206031827,,69.7,67.9137719166254
179,Spain,91.8079354653356,0.861018098074363,81.6268292682927,0.00546191563380962,99.8774333450347,3.2,4.58213969499442
180,Sri Lanka,75.9677535655116,3.6915977324494,73.215,0.0899304674298918,84.8883738090123,9.6,8.26698958098415
181,St. Kitts and Nevis,,44.3009936079995,71.27,,92.9914257928585,15.5,..
182,St. Lucia,80.5400401176861,25.7407786585544,72.72,0.101224365777852,83.6875061410302,16.2,8.28671790640887
183,St. Martin (French part),,,78.406,,99.4734485930542,..,..
184,St. Vincent and the Grenadines,77.0202156054384,22.8712576904604,74.718,0.107836143071334,82.8568325268669,18.9,15.3477745259795
185,Sudan,44.7198507244728,,63.016,2.0448409310171,28.2380452033028,50,44.7989164218489
186,Suriname,71.1446309297372,,69.894,0.377201927068429,83.1536031950863,20.6,16.2846266594726
187,Sweden,90.6386642834919,0.969970408974166,81.4512195121951,0.00788664835712662,99.0500976840453,2.5,4.53888243821254
188,Switzerland,90.6957485730542,0.664754602323023,82.2463414634147,0.0113098481300758,99.8811285661122,3.9,3.63047104736056
189,Syrian Arab Republic,78.3291443451884,2.07274182221091,73.881,0.0810145529635767,91.1032317677505,16.3,12.5689161818835
190,Tajikistan,69.7221127404227,2.37477350269711,67.742,0.130888152861106,93.455074499174,37,22.3015173679662
191,Tanzania,25.791025907589,8.61883071529146,60.105,2.69226684211918,18.5129732606357,45.5,65.7772820015733
192,Thailand,71.2369035991596,5.35223934493688,76.131,0.0486403581861955,95.390777260397,10.8,16.1252617640511
193,Timor-Leste,47.2373252982921,3.58295670180567,65.304,1.77464101598364,45.1019142011981,58.8,45.1492590340446
194,Togo,34.3515136449908,,57.304,2.69856911198544,13.4914168494847,58.2,56.5930370513992
195,Tonga,80.588770852297,0.931241764330647,70.323,0.348200287233336,92.0291584818118,11.3,13.3251976424644
196,Trinidad and Tobago,79.925659311535,33.5390584671587,72.725,0.0804239005071013,92.5761575345668,19.9,8.4705745334881
197,Tunisia,83.5345114502486,2.62504230700834,75.421,0.0912170131419529,86.8115536906964,16.1,7.66704544713281
198,Turkiye,88.822879774528,4.18605855331374,75.069,0.0536284544843534,93.2882463978179,15.4,6.07211467719765
199,Turkmenistan,73.1601437467736,1.99317782686479,68.293,0.027279391715995,95.4597741748201,37.2,19.5035804114595
200,Turks and Caicos Islands,,,76.243,,,5.2,..
201,Tuvalu,,9.4791222332812,63.978,,82.9445482014369,26,..
202,Uganda,25.2838361938874,9.77065913113857,57.055,2.26645403387177,18.5332942492702,49.6,65.3267869748602
203,Ukraine,90.5780272296426,4.35172635644192,70.2653658536586,0.0233464789692691,96.2858797015542,10.1,4.15965875274342
204,United Arab Emirates,66.9737121941481,0.78992936734557,78.334,0.0222949339300104,99.1241989402121,7,7.17660786007113
205,United Kingdom,89.3427633545594,1.20458817118157,80.4024390243902,0.0165650154896873,99.118367727228,4.4,7.31670708299623
206,United States,88.1043193118658,4.7309805911698,78.5414634146342,0.0243663667482852,99.8705355052484,6.2,5.69330817392815
207,Uruguay,85.3175129602018,6.11456426571092,76.858,0.0368595790746226,95.1450993148589,9.2,7.97726633870856
208,Uzbekistan,80.3656006320119,,69.235,0.103659335291691,94.8458110786003,26.7,13.2004756359256
209,Vanuatu,70.9249365499534,,69.617,0.413657490114891,52.9826267950857,20.1,19.87717716552
210,"Venezuela, RB",66.5723342571832,45.551070794931,72.89,0.309496233388962,91.8520804597885,14.7,12.3434931455676
211,Viet Nam,78.4023051500846,1.52841154613334,73.513,0.1241416,69.402687859004,18.4,12.8608712834905
212,Virgin Islands (U.S.),,52.7595108439637,77.8658536585366,,99.0877566995471,..,..
213,West Bank and Gaza,,0.976885878187842,73.004,0.209793067866526,93.8645690292441,18.8,..
214,"Yemen, Rep.",51.2738135655353,4.44149054563671,67.28,0.802280478416752,49.7545128865992,43,37.0203030126365
215,Zambia,28.8305322789141,5.90193514230062,56.799,1.54040756923213,28.4217753410918,51.1,63.4188649098526
216,Zimbabwe,28.8780396569393,5.53748215359457,50.652,2.58137128693708,41.1551678278732,52.5,61.9820966392934
